USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  38148  5620 ?        Ss    2019  10:00 /lib/systemd/systemd --system --deserialize 27
root         2  0.0  0.0      0     0 ?        S     2019   0:02 [kthreadd]
root         3  0.0  0.0      0     0 ?        S     2019   0:22 [ksoftirqd/0]
root         7  0.0  0.0      0     0 ?        S     2019  33:10 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S     2019   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S     2019   0:02 [migration/0]
root        10  0.0  0.0      0     0 ?        S     2019   0:43 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S     2019   0:35 [watchdog/1]
root        12  0.0  0.0      0     0 ?        S     2019   0:02 [migration/1]
root        13  0.0  0.0      0     0 ?        S     2019   0:13 [ksoftirqd/1]
root        16  0.0  0.0      0     0 ?        S     2019   0:34 [watchdog/2]
root        17  0.0  0.0      0     0 ?        S     2019   0:01 [migration/2]
root        18  0.0  0.0      0     0 ?        S     2019   0:36 [ksoftirqd/2]
root        21  0.0  0.0      0     0 ?        S     2019   0:34 [watchdog/3]
root        22  0.0  0.0      0     0 ?        S     2019   0:02 [migration/3]
root        23  0.0  0.0      0     0 ?        S     2019   0:07 [ksoftirqd/3]
root        26  0.0  0.0      0     0 ?        S     2019   0:27 [watchdog/4]
root        27  0.0  0.0      0     0 ?        S     2019   0:03 [migration/4]
root        28  0.0  0.0      0     0 ?        S     2019   0:02 [ksoftirqd/4]
root        31  0.0  0.0      0     0 ?        S     2019   0:35 [watchdog/5]
root        32  0.0  0.0      0     0 ?        S     2019   0:03 [migration/5]
root        33  0.0  0.0      0     0 ?        S     2019   0:02 [ksoftirqd/5]
root        36  0.0  0.0      0     0 ?        S     2019   0:35 [watchdog/6]
root        37  0.0  0.0      0     0 ?        S     2019   0:03 [migration/6]
root        38  0.0  0.0      0     0 ?        S     2019   0:02 [ksoftirqd/6]
root        41  0.0  0.0      0     0 ?        S     2019   0:36 [watchdog/7]
root        42  0.0  0.0      0     0 ?        S     2019   0:03 [migration/7]
root        43  0.0  0.0      0     0 ?        S     2019   0:02 [ksoftirqd/7]
root        46  0.0  0.0      0     0 ?        S     2019   0:00 [kdevtmpfs]
root        47  0.0  0.0      0     0 ?        S<    2019   0:00 [netns]
root        48  0.0  0.0      0     0 ?        S<    2019   0:00 [perf]
root        49  0.0  0.0      0     0 ?        S     2019   0:13 [khungtaskd]
root        50  0.0  0.0      0     0 ?        S<    2019   0:00 [writeback]
root        51  0.0  0.0      0     0 ?        SN    2019   0:00 [ksmd]
root        52  0.0  0.0      0     0 ?        SN    2019   2:21 [khugepaged]
root        53  0.0  0.0      0     0 ?        S<    2019   0:00 [crypto]
root        54  0.0  0.0      0     0 ?        S<    2019   0:00 [kintegrityd]
root        55  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        56  0.0  0.0      0     0 ?        S<    2019   0:00 [kblockd]
root        57  0.0  0.0      0     0 ?        S<    2019   0:00 [ata_sff]
root        58  0.0  0.0      0     0 ?        S<    2019   0:00 [md]
root        59  0.0  0.0      0     0 ?        S<    2019   0:00 [devfreq_wq]
root        70  0.0  0.0      0     0 ?        S     2019   0:15 [kswapd0]
root        71  0.0  0.0      0     0 ?        S<    2019   0:00 [vmstat]
root        72  0.0  0.0      0     0 ?        S     2019   0:00 [fsnotify_mark]
root        73  0.0  0.0      0     0 ?        S     2019   0:00 [ecryptfs-kthrea]
root        89  0.0  0.0      0     0 ?        S<    2019   0:00 [kthrotld]
root        90  0.0  0.0      0     0 ?        S<    2019   0:00 [acpi_thermal_pm]
root        91  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        92  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        93  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        94  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        95  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        96  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        97  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        98  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root       102  0.0  0.0      0     0 ?        S<    2019   0:00 [ipv6_addrconf]
root       117  0.0  0.0      0     0 ?        S<    2019   0:00 [deferwq]
root       118  0.0  0.0      0     0 ?        S<    2019   0:00 [charger_manager]
root       169  0.0  0.0      0     0 ?        S     2019   0:00 [scsi_eh_0]
root       170  0.0  0.0      0     0 ?        S<    2019   0:00 [scsi_tmf_0]
root       171  0.0  0.0      0     0 ?        S     2019   0:00 [scsi_eh_1]
root       172  0.0  0.0      0     0 ?        S<    2019   0:00 [scsi_tmf_1]
root       177  0.0  0.0      0     0 ?        S<    2019   0:00 [kpsmoused]
root       178  0.0  0.0      0     0 ?        S     2019   0:00 [scsi_eh_2]
root       179  0.0  0.0      0     0 ?        S<    2019   0:00 [scsi_tmf_2]
root       180  0.0  0.0      0     0 ?        S     2019   0:00 [scsi_eh_3]
root       181  0.0  0.0      0     0 ?        S<    2019   0:00 [scsi_tmf_3]
root       184  0.0  0.0      0     0 ?        S<    2019   0:00 [firewire]
root       185  0.0  0.0      0     0 ?        S<    2019   0:00 [firewire_ohci]
root       194  0.0  0.0      0     0 ?        S     2019   0:00 [scsi_eh_4]
root       195  0.0  0.0      0     0 ?        S<    2019   0:00 [scsi_tmf_4]
